station #,packets_transmitted,collisions,collision_prob
0,544,8,0.014705882352941176
1,519,7,0.01348747591522158
2,700,8,0.011428571428571429
3,951,11,0.011566771819137749
4,293,7,0.023890784982935155
5,555,8,0.014414414414414415
6,765,17,0.022222222222222223
7,300,9,0.03
8,268,7,0.026119402985074626
9,191,2,0.010471204188481676
10,723,14,0.019363762102351315
11,763,11,0.014416775884665793
12,344,6,0.01744186046511628
13,592,6,0.010135135135135136
14,481,9,0.018711018711018712
15,627,9,0.014354066985645933
16,861,11,0.012775842044134728
17,429,1,0.002331002331002331
18,723,8,0.011065006915629323
19,238,6,0.025210084033613446
20,324,4,0.012345679012345678
21,257,7,0.027237354085603113
22,834,10,0.011990407673860911
23,706,18,0.025495750708215296
24,736,12,0.016304347826086956
25,809,11,0.013597033374536464
26,604,12,0.019867549668874173
27,876,16,0.0182648401826484
28,898,7,0.0077951002227171495
29,537,9,0.01675977653631285
30,217,3,0.013824884792626729
31,556,11,0.019784172661870502
32,489,10,0.02044989775051125
33,427,3,0.00702576112412178
34,575,13,0.022608695652173914
35,811,20,0.02466091245376079
36,692,8,0.011560693641618497
37,417,6,0.014388489208633094
38,421,10,0.023752969121140142
39,200,5,0.025
40,866,7,0.008083140877598153
41,843,14,0.0166073546856465
42,655,7,0.010687022900763359
43,1014,21,0.020710059171597635
44,319,3,0.009404388714733543
45,312,8,0.02564102564102564
46,490,7,0.014285714285714285
47,813,5,0.006150061500615006
48,287,5,0.017421602787456445
49,923,21,0.02275189599133261
50,566,6,0.01060070671378092
51,958,11,0.011482254697286013
52,873,14,0.016036655211912942
53,433,12,0.02771362586605081
54,653,12,0.018376722817764167
55,267,6,0.02247191011235955
56,557,6,0.010771992818671455
57,664,15,0.022590361445783132
58,502,3,0.00597609561752988
59,351,6,0.017094017094017096
60,754,13,0.017241379310344827
61,894,22,0.024608501118568233
62,210,4,0.01904761904761905
63,687,20,0.02911208151382824
64,368,6,0.016304347826086956
65,585,13,0.022222222222222223
66,376,12,0.031914893617021274
67,915,15,0.01639344262295082
68,370,4,0.010810810810810811
69,248,3,0.012096774193548387
70,215,3,0.013953488372093023
71,308,2,0.006493506493506494
72,226,7,0.030973451327433628
73,885,20,0.022598870056497175
74,848,17,0.020047169811320754
75,642,7,0.010903426791277258
76,945,11,0.01164021164021164
77,532,9,0.016917293233082706
78,346,2,0.005780346820809248
79,830,13,0.01566265060240964
80,953,12,0.012591815320041973
81,885,13,0.014689265536723164
82,518,8,0.015444015444015444
83,431,11,0.025522041763341066
84,405,5,0.012345679012345678
85,351,6,0.017094017094017096
86,891,18,0.020202020202020204
87,918,20,0.02178649237472767
88,479,5,0.010438413361169102
89,885,7,0.007909604519774011
90,370,4,0.010810810810810811
91,342,3,0.008771929824561403
92,990,18,0.01818181818181818
93,968,15,0.015495867768595042
94,955,16,0.016753926701570682
95,233,5,0.02145922746781116
96,262,8,0.030534351145038167
97,515,8,0.015533980582524271
98,679,14,0.020618556701030927
99,778,13,0.016709511568123392
